Mode choice,,,,,,,,,,,,,,,,
Since this area is a regional area public transport is not popular due to less availability and travel time,,,,,,,,,,,,,,,,
Therefore private car and non motorized transport (Walk and Cycle) is selected as two-mode of transport,,,,,,,,,,,,,,,,
Two-mode (Binary) :,,Car and Walk,,,,,,,,,,,,,,
Take trip generation from zone 1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Origin: Zone 1,,Travel time,,"Utility, V",,"Car, %",Car trips,,,,,,,,,
Destination,Trips,Car,Walk,Car,Walk,,,,Logit model,,,,11501,,,
Zone 1,11501,5,20,0,-2,88%,10130,,,,,,2101,,,
Zone 2,2101,10,30,-0.5,-3,92%,1942,,"V = 0.5 x M- 0.1 x TT, min",,,,2482,,,
Zone 3,2482,15,60,-1,-6,99%,2465,,M= ,1 if car ,,,2395,,,
Zone 4,2395,20,45,-1.5,-4.5,95%,2281,,M=,0 if walk ,,,4182,,,
Zone 5,4182,25,120,-2,-12,100%,4182,,,,,,,,,
,22661,,,,,,21001,,,,,,,,,
,,,,Car mode share,,,93%,,,,,,,,,
,,,,,,,,,,,,,,,,
Calibrate a car-walk logit model ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data for regression,,,,,,,,,Calibration logit model,,,,,,,
,Users,,,Mode constant,,"Travel time, min",,,,,,,,,,
,Car ,Walk,All,Car ,Walk,Car ,Walk,,P (Car),M (Car),M (W),TT (Car),TT (W),Y = -ln(1/P-1),ΔM,ΔTT
1-1,27,10,37,1,0,12,30,,73%,1,0,12,30,0.993,1,-18
2-1,10,1,11,1,0,13,45,,91%,1,0,13,45,2.303,1,-32
2-2,19,11,30,1,0,13,20,,63%,1,0,13,20,0.547,1,-7
2-3,5,2,7,1,0,20,30,,71%,1,0,20,30,0.916,1,-10
2-4,14,7,21,1,0,12,25,,67%,1,0,12,25,0.693,1,-13
3-1,6,5,11,1,0,6,10,,55%,1,0,6,10,0.182,1,-4
4-2,18,7,25,1,0,13,25,,72%,1,0,13,25,0.944,1,-12
4-3,2,1,3,1,0,20,45,,67%,1,0,20,45,0.693,1,-25
4-4,15,6,21,1,0,12,25,,71%,1,0,12,25,0.916,1,-13
5-5,17,8,25,1,0,8,20,,68%,1,0,8,20,0.754,1,-12
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,Slope,Constant,,,,,
,,,,,,,,,,-0.052809079,0.123950936,,,,,
,,,,,,,,,,,,,,,,
Based on calibration take Logit model,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,ßM = ,0.12,,,,,,,,,,,,,,
,ßTT = ,-0.05,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Estimation of car mode use from Zone 1 to zone 1,2,3,4 & 4",,,,,,,,,,,,,,,,
Origin: Zone 1,,Travel time,,"Utility, V",,"Car, %",Car trips,,,,,,,,,
Destination,Trips,Car,Walk,Car,Walk,,,,,,,,,,,
Zone 1,11501,5,20,-0.140094461,-1.056181586,71%,8215,,,,,,,,,
Zone 2,2101,10,30,-0.404139857,-1.584272379,76%,1607,,,,,,,,,
Zone 3,2482,15,60,-0.668185254,-3.168544757,92%,2294,,,,,,,,,
Zone 4,2395,20,45,-0.93223065,-2.376408568,81%,1938,,,,,,,,,
Zone 5,4182,25,120,-1.196276047,-6.337089515,99%,4158,,,,,,,,,
,22661,,,,,,18211,,,,,,,,,
,,,,Car mode share,,,80%,,,,,,,,,
,,,,,,,,,,,,,,,,
"Estimation of car mode from zone 2 to 1,2,3,4,5",,,,,,,,,,,,,,,,
Origin: Zone 2,,Travel time,,"Utility, V",,"Car, %",Car trips,,,,,,,,,
Destination,Trips,Car,Walk,Car,Walk,,,,,,,,,,,
Zone 1,2833,8,20,-0.298521699,-1.056181586,68%,1929,,,,,,,,,
Zone 2,5301,5,30,-0.140094461,-1.584272379,81%,4289,,,,,,,,,
Zone 3,2445,12,60,-0.509758016,-3.168544757,93%,2285,,,,,,,,,
Zone 4,2360,16,45,-0.720994333,-2.376408568,84%,1982,,,,,,,,,
Zone 5,5087,18,120,-0.826612492,-6.337089515,100%,5067,,,,,,,,,
,18026,,,,,,15551,,,,,,,,,
,,,,Car mode share,,,86%,,,,,,,,,
,,,,,,,,,,,,,,,,
"Estimation of car mode from zone 3 to 1,2,3,4,5",,,,,,,,,,,,,,,,
Origin: Zone 3,,Travel time,,"Utility, V",,"Car, %",Car trips,,,,,,,,,
Destination,Trips,Car,Walk,Car,Walk,,,,,,,,,,,
Zone 1,2072,10,20,-0.404139857,-1.056181586,66%,1362,,,,,,,,,
Zone 2,2366,8,30,-0.298521699,-1.584272379,78%,1853,,,,,,,,,
Zone 3,8211,7,60,-0.245712619,-3.168544757,95%,7792,,,,,,,,,
Zone 4,4794,12,45,-0.509758016,-2.376408568,87%,4152,,,,,,,,,
Zone 5,8370,15,120,-0.668185254,-6.337089515,100%,8341,,,,,,,,,
,25812,,,,,,23500,,,,,,,,,
,,,,Car mode share,,,91%,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Estimation of car mode from zone 4 to 1,2,3,4,5",,,,,,,,,,,,,,,,
Origin: Zone 4,,Travel time,,"Utility, V",,"Car, %",Car trips,,,,,,,,,
Destination,Trips,Car,Walk,Car,Walk,,,,,,,,,,,
Zone 1,327,15,20,-0.668185254,-1.056181586,60%,195,,,,,,,,,
Zone 2,373,12,30,-0.509758016,-1.584272379,75%,278,,,,,,,,,
Zone 3,1429,10,60,-0.404139857,-3.168544757,94%,1344,,,,,,,,,
Zone 4,3830,8,45,-0.298521699,-2.376408568,89%,3404,,,,,,,,,
Zone 5,4644,12,120,-0.509758016,-6.337089515,100%,4631,,,,,,,,,
,10604,,,,,,9852,,,,,,,,,
,,,,Car mode share,,,93%,,,,,,,,,
,,,,,,,,,,,,,,,,
"Estimation of car mode from zone 5 to 1,2,3,4,5",,,,,,,,,,,,,,,,
Origin: Zone 5,,Travel time,,"Utility, V",,"Car, %",Car trips,,,,,,,,,
Destination,Trips,Car,Walk,Car,Walk,,,,,,,,,,,
Zone 1,274,25,20,-1.196276047,-1.056181586,47%,128,,,,,,,,,
Zone 2,387,18,30,-0.826612492,-1.584272379,68%,263,,,,,,,,,
Zone 3,1698,14,60,-0.615376174,-3.168544757,93%,1576,,,,,,,,,
Zone 4,3966,12,45,-0.509758016,-2.376408568,87%,3435,,,,,,,,,
Zone 5,15581,10,120,-0.404139857,-6.337089515,100%,15539,,,,,,,,,
,21906,,,,,,20941,,,,,,,,,
,,,,Car mode share,,,96%,,,,,,,,,
Average car mode share in the study area = (80+86+91+93+96)/5,,,,,,=,89%,,,,,,,,,
,,,,,,,,,,,,,,,,
"Therefore, it can be predicted that 89% car mode share in year 2031 for the daily travelling.",,,,,,,,,,,,,,,,
